Index,Date1,Date2,Date3
1,01-01-2020,7-22-20,01-01-2020
2,02-01-2020,7-22-20,31-12-2020
3,03-01-2020,7-22-20,12-31-2020
4,04-01-2020,7-22-20,12-31-2020
5,05-01-2020,7-22-20,12-31-2020
6,06-01-2020,7-22-20,12-31-2020
7,07-01-2020,7-22-20,12-31-2020
8,08-01-2020,7-22-20,12-31-2020
9,09-01-2020,7-22-20,12-31-2020
10,10-01-2020,7-22-20,12-31-2020
11,11-01-2020,7-22-20,12-31-2020
12,12-01-2020,7-22-20,12-31-2020
13,13-01-2020,7-22-20,12-31-2020
14,14-01-2020,7-22-20,12-31-2020
15,15-01-2020,7-22-20,12-31-2020
